ID,Category Metric,SubTopic Metric,Metric Type,Description ,Metric,INSTRUMENT,FORMULATION,PAPER LINK
M016,Defense Metrics,Proactive Defenses Strength,Address Space Layout Randomization (ASLR) ,"Metrics to measure two important proactive defense mechanisms, Address Space Layout Randomization (ASLR) and Moving Target Defense (MTD). These mechanisms are proactive because a system can be constantly reconfigured to hinder the attack process. On the other hand, preventative and reactive defenses often only undergo changes to defense tools (e.g., updating signatures or malware detection rules).",Entropy metric ,system tool,,https://benpfaff.org/papers/asrandom.pdf
M017,Defense Metrics,Proactive Defenses Strength,Address Space Layout Randomization (ASLR) ,"Metrics to measure two important proactive defense mechanisms, Address Space Layout Randomization (ASLR) and Moving Target Defense (MTD). These mechanisms are proactive because a system can be constantly reconfigured to hinder the attack process. On the other hand, preventative and reactive defenses often only undergo changes to defense tools (e.g., updating signatures or malware detection rules).",Effective entropy metric ,system tool,,https://benpfaff.org/papers/asrandom.pdf
M018,Defense Metrics,Proactive Defenses Strength,Moving Target Defense ,"Metrics to measure two important proactive defense mechanisms, Address Space Layout Randomization (ASLR) and Moving Target Defense (MTD). These mechanisms are proactive because a system can be constantly reconfigured to hinder the attack process. On the other hand, preventative and reactive defenses often only undergo changes to defense tools (e.g., updating signatures or malware detection rules).",Moving Target Defense ,system tool,,
M019,Defense Metrics,Overall Defenses Strength,Penetration resistance ,Discuss the two metrics that aim to measure the strength of a given system's global defenses,Penetration resistance ,red team,MITRE FORMULATION,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1194877
M020,Defense Metrics,Overall Defenses Strength,Network diversity ,Discuss the two metrics that aim to measure the strength of a given system's global defenses,Network diversity ,red team,,
M021,Attack Metrics,Zero-Day Attacks,,,Lifetime of zero-day attacks ,IM log,,https://www.researchgate.net/publication/262240606_Before_we_knew_it_An_empirical_study_of_zero-day_attacks_in_the_real_world
M022,Attack Metrics,Zero-Day Attacks,,,Victims by zero-day attacks ,IM log,% zero day per time,https://www.researchgate.net/publication/262240606_Before_we_knew_it_An_empirical_study_of_zero-day_attacks_in_the_real_world
M023,Attack Metrics,Targeted Attacks ,,,Targeted threat index ,,,https://www.usenix.org/system/files/conference/usenixsecurity14/sec14-paper-hardy.pdf
M024,Attack Metrics,Measuring Botnets ,,"Defining a metric of botnet strike power is a key to prioritizing countermeasures against botnets. A dynamic robustness measurement metric can reflect the degree of countermeasures that can be exploited by attackers when defenders fight against botnets. These metrics can be incorporated into equation (1) as parameters of the A(t) model. Metrics of botnet strike power and botnet resilience with countermeasures (i.e., the attacker seeks to dynamically mitigate the defender's process to disrupt a botnet) can be useful in guiding defense operations.",Botnet size ,botnet tool,,"https://people.engr.tamu.edu/guofei/paper/Dagon_acsac07_botax.pdf, http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.445.5505&rep=rep1&type=pdf"
M025,Attack Metrics,Measuring Botnets ,,"Defining a metric of botnet strike power is a key to prioritizing countermeasures against botnets. A dynamic robustness measurement metric can reflect the degree of countermeasures that can be exploited by attackers when defenders fight against botnets. These metrics can be incorporated into equation (1) as parameters of the A(t) model. Metrics of botnet strike power and botnet resilience with countermeasures (i.e., the attacker seeks to dynamically mitigate the defender's process to disrupt a botnet) can be useful in guiding defense operations.",Network bandwidth ,network traffic tool,,"https://people.engr.tamu.edu/guofei/paper/Dagon_acsac07_botax.pdf, http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.445.5505&rep=rep1&type=pdf"
M026,Attack Metrics,Measuring Botnets ,,"Defining a metric of botnet strike power is a key to prioritizing countermeasures against botnets. A dynamic robustness measurement metric can reflect the degree of countermeasures that can be exploited by attackers when defenders fight against botnets. These metrics can be incorporated into equation (1) as parameters of the A(t) model. Metrics of botnet strike power and botnet resilience with countermeasures (i.e., the attacker seeks to dynamically mitigate the defender's process to disrupt a botnet) can be useful in guiding defense operations.",Botnet efficiency ,botnet tool,,"https://people.engr.tamu.edu/guofei/paper/Dagon_acsac07_botax.pdf, http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.445.5505&rep=rep1&type=pdf"
M027,Attack Metrics,Measuring Botnets ,,"Defining a metric of botnet strike power is a key to prioritizing countermeasures against botnets. A dynamic robustness measurement metric can reflect the degree of countermeasures that can be exploited by attackers when defenders fight against botnets. These metrics can be incorporated into equation (1) as parameters of the A(t) model. Metrics of botnet strike power and botnet resilience with countermeasures (i.e., the attacker seeks to dynamically mitigate the defender's process to disrupt a botnet) can be useful in guiding defense operations.",Botnet robustness ,botnet tool,,"https://people.engr.tamu.edu/guofei/paper/Dagon_acsac07_botax.pdf, http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.445.5505&rep=rep1&type=pdf"
M028,Attack Metrics,Malware Spreading ,,"Malware spread is a common attack in which malware can spread at a certain rate. The infection rate metric, denoted by γ, measures the average number of vulnerable computers that are infected by a compromised computer (per unit of time) in the initial phase of the spread. Intuitively, γ depends on the scanning strategy. Let z be the number of scans and infections performed by an infected computer (per unit of time) and w the number of vulnerable computers. With a random scan on the IPv4 address space, the infection rate is γ = zw/232 [Chen and Ji 2007]",Infection rate,network traffic tool,,https://www.researchgate.net/publication/221242664_Measuring_Network-Aware_Worm_Spreading_Ability
M029,Attack Metrics,Evasion Techniques ,,Sophisticated attacks can evade defense mechanisms placed in a system using different strategies. Two types of metrics to measure the strength of these types of attacks: adversarial machine learning and obfuscation.,Adversarial Machine Learning Attacks ,IDS,,https://homes.cs.washington.edu/~pedrod/papers/kdd04.pdf
M030,Attack Metrics,Evasion Techniques ,Obfuscation Attacks ,Sophisticated attacks can evade defense mechanisms placed in a system using different strategies. Two types of metrics to measure the strength of these types of attacks: adversarial machine learning and obfuscation.,Obfuscation prevalence metric ,code analysis tool,,https://www.researchgate.net/publication/262233541_Binary-Code_Obfuscations_in_Prevalent_Packer_Tools
M031,Attack Metrics,Evasion Techniques ,Obfuscation Attacks ,Sophisticated attacks can evade defense mechanisms placed in a system using different strategies. Two types of metrics to measure the strength of these types of attacks: adversarial machine learning and obfuscation.,Structural complexity metric ,code analysis tool,,https://www.researchgate.net/publication/283593888_SoK_Deep_Packer_Inspection_A_Longitudinal_Study_of_the_Complexity_of_Run-Time_Packers
M032,Situation Metrics,Security State ,Data-Driven State Metrics ,This type of metric measures the data-driven state of the system. Examples of data-driven health metrics are as follows,Network maliciousness metric ,network traffic tool,,https://mdbailey.ece.illinois.edu/publications/ndss-2014.pdf
M033,Situation Metrics,Security State ,Data-Driven State Metrics ,This type of metric measures the data-driven state of the system. Examples of data-driven health metrics are as follows,Rogue network metric ,"IPS, IDS, HONEYPOT",,https://sites.cs.ucsb.edu/~chris/research/doc/acsac09_fire.pdf
M034,Situation Metrics,Security State ,Data-Driven State Metrics ,This type of metric measures the data-driven state of the system. Examples of data-driven health metrics are as follows,ISP badness metric ,IDS,,https://www.researchgate.net/publication/268289509_Metrics_for_Measuring_ISP_Badness_The_Case_of_Spam_Short_Paper
M035,Situation Metrics,Security State ,Data-Driven State Metrics ,This type of metric measures the data-driven state of the system. Examples of data-driven health metrics are as follows,Control-plane reputation metric ,theoretical,,https://conferences.sigcomm.org/sigcomm/2015/pdf/papers/p625.pdf
M036,Situation Metrics,Security State ,Data-Driven State Metrics ,This type of metric measures the data-driven state of the system. Examples of data-driven health metrics are as follows,Cybersecurity posture metric ,"IPS, IDS, HONEYPOT",,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.717.5411&rep=rep1&type=pdf
M037,Situation Metrics,Security State ,Model-Driven Metrics ,This type of metric measures the states of the system in terms of the outcome of the attack-defense interaction patterns.,Fraction of compromised computers ,"IPS, IDS, HONEYPOT",,https://www.researchgate.net/publication/275919188_Push-_and_Pull-Based_Epidemic_Spreading_in_Networks_Thresholds_and_Deeper_Insights
M038,Situation Metrics,Security State ,Model-Driven Metrics ,This type of metric measures the states of the system in terms of the outcome of the attack-defense interaction patterns.,Probability a computer is compromised at time t ,theoretical,,https://www.researchgate.net/publication/224262028_Model-based_security_metrics_using_ADversary_VIew_Security_Evaluation_ADVISE
M039,Situation Metrics,Security Incidents ,Measuring Frequency of Security Incidents ,Security incidents can be measured by the following:,Encounter rate ,SIEM o IPS,,https://progwriter.github.io/static/papers/ccs12.pdf
M040,Situation Metrics,Security Incidents ,Measuring Frequency of Security Incidents ,Security incidents can be measured by the following:,Incident rate ,SIEM o IPS,AS ABOVE,
M041,Situation Metrics,Security Incidents ,Measuring Frequency of Security Incidents ,Security incidents can be measured by the following:,Blocking rate ,SIEM o IPS,,rif. 039 excel
M042,Situation Metrics,Security Incidents ,Measuring Frequency of Security Incidents ,Security incidents can be measured by the following:,Breach frequency metric ,SIEM o IPS,AS ABOVE,https://www.researchgate.net/publication/279193830_Hype_and_Heavy_Tails_A_closer_look_at_data_breaches
M043,Situation Metrics,Security Incidents ,Measuring Frequency of Security Incidents ,Security incidents can be measured by the following:,Breach size metric ,SIEM o IPS,,https://www.researchgate.net/publication/279193830_Hype_and_Heavy_Tails_A_closer_look_at_data_breaches
M044,Situation Metrics,Security Incidents ,Measuring Frequency of Security Incidents ,Security incidents can be measured by the following:,Time-between-incidents metric ,SIEM o IPS,,
M045,Situation Metrics,Security Incidents ,Measuring Frequency of Security Incidents ,Security incidents can be measured by the following:,Time-to-first-compromise metric ,SIEM o IPS,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=588541
M046,Situation Metrics,Security Incidents ,Damage of Security Incidents ,Damage to a system after a security incident can be estimated based on the degree of impact caused by the security incident. The impact can be estimated from the following metrics,Delay in incident detection ,IDS vs IPS,,
M047,Situation Metrics,Security Incidents ,Damage of Security Incidents ,Damage to a system after a security incident can be estimated based on the degree of impact caused by the security incident. The impact can be estimated from the following metrics,Cost of incidents ,IM tool,,
M048,Situation Metrics,Security Investment ,,Investments to ensure the security of a business can be measured as follows:,Security spending ,IM tool,,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-55r1.pdf
M049,Situation Metrics,Security Investment ,,Investments to ensure the security of a business can be measured as follows:,Security budget allocation ,SIEM,RATE,
M050,Situation Metrics,Security Investment ,,Investments to ensure the security of a business can be measured as follows:,Return on security investment ,SIEM,,"https://www.cio.com/article/270858/metrics-finally-a-real-return-on-security-spending.html, https://www.enisa.europa.eu/publications/introduction-to-return-on-security-investment"
M051,Situation Metrics,Security Investment ,,Investments to ensure the security of a business can be measured as follows:,Net present value ,SIEM,,https://www.researchgate.net/publication/220427223_Budgeting_process_for_information_security_expenditures
M052,Vulnerability Metrics,User Vulnerabilities ,Measuring Phishing Susceptibility ,"Typical metrics are false positives (FP) or false negatives (FN), where FP indicates the percentage of reporting genuine emails as phishing emails while FN captures the percentage of detection of a phishing email as genuine emails [Sheng et al. 2010]. Often, human cognitive biases or personality traits can influence susceptibility to phishing [Cho et al. 2016]. Susceptibility to phishing can be measured in a scale of ratios.",Measuring Phishing Susceptibility ,MANUAL,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7497779
M053,Vulnerability Metrics,User Vulnerabilities ,Measuring Malware Susceptibility ,"Susceptibility to malware is closely tied to a user's online behavior. Users who frequently install a lot of applications are more exposed to malware. Furthermore, if users visit a lot of websites, then there is a higher vulnerability to malware infection [Levesque et al. 2013]. This susceptibility to malware is also estimated in a scale of ratios.
",Measuring Malware Susceptibility ,MANUAL,,https://www.researchgate.net/publication/262281313_A_clinical_study_of_risk_factors_related_to_malware_infections
M054,Vulnerability Metrics,User Vulnerabilities ,Measuring Password Vulnerabilities ,"Using a password is a common way to authenticate a user. While entropy is the most intuitive metric for measuring the strength of a password, it's not a trivial task. Entropy is often estimated using heuristic rules such as NIST's rule, ""a bonus of up to 6 bits of entropy is added for an extended dictionary check"" [Burr et al. 2006]. Estimated password entropy is known to offer only an approximation of password weakness or strength. However, estimated entropy cannot tell which passwords are easier to crack than others [Weir et al. 2010; Kelley et al. 2012]. Recently, two metrics for passwords have emerged, password guessability and password meter, which have been used in different contexts",Password guessability metrics ,CRYPTO TOOL,,https://www.usenix.org/system/files/conference/usenixsecurity12/sec12-final209.pdf
M055,Vulnerability Metrics,User Vulnerabilities ,Measuring Password Vulnerabilities ,"Using a password is a common way to authenticate a user. While entropy is the most intuitive metric for measuring the strength of a password, it's not a trivial task. Entropy is often estimated using heuristic rules such as NIST's rule, ""a bonus of up to 6 bits of entropy is added for an extended dictionary check"" [Burr et al. 2006]. Estimated password entropy is known to offer only an approximation of password weakness or strength. However, estimated entropy cannot tell which passwords are easier to crack than others [Weir et al. 2010; Kelley et al. 2012]. Recently, two metrics for passwords have emerged, password guessability and password meter, which have been used in different contexts
",Password meter metrics ,CRYPTO TOOL,,https://www.ndss-symposium.org/wp-content/uploads/2017/09/06_3.pdf
M056,Vulnerability Metrics,Interface-Induced Vulnerabilities ,,"The interface to access software from the outside world (i.e., service access points) offers potential opportunities to launch cyberattacks against the software. The attack surface metric [Manadhata and Wing 2011] aims to measure the ways in which an attacker can compromise targeted software. This metric is designed because many attacks against software can be conducted by ingesting data from the environment (where the software runs) into the software (e.g., buffer overrun) or by receiving data through interactions with the software. These attacks typically interact with software by connecting to a channel (e.g., sockets) or invoking a method (e.g., Application Programming Interface) offered by the software, or by sending/receiving data to/from the software.
",Interface-Induced Susceptibility,SIEM,,
M057,Vulnerability Metrics,Software Vulnerabilities ,Measuring Temporal Attributes of Vulnerabilities ,"These metrics can be further divided into two subcategories of metrics to measure: (i) the evolution of vulnerabilities and (ii) the duration of vulnerability [Al-Shaer et al. 2008; Ahmed et al. 2008].
",Metrics for measuring the evolution of vulnerabilities,SIEM o IPS,,
M058,Vulnerability Metrics,Software Vulnerabilities ,Measuring Temporal Attributes of Vulnerabilities ,"These metrics can be further divided into two subcategories of metrics to measure: (i) the evolution of vulnerabilities and (ii) the duration of vulnerability [Al-Shaer et al. 2008; Ahmed et al. 2008].
",Metrics for measuring vulnerability lifetime ,SIEM o IPS,,
M059,Vulnerability Metrics,Software Vulnerabilities ,Measuring Severity of Individual Software Vulnerabilities ,"CVSS aims to measure software vulnerabilities with an emphasis on their classification to prioritize patching operations [FIRST 2015]. The Common Weakness Scoring System (CWSS) aims to prioritize software weaknesses for a different purpose [MITRE 2014]. In this work, we focus on CVSS version 3.0 [FIRST 2015] based on three categories of the following metrics: basic metrics (including exploitability and impact), time metrics, and environmental metrics. Due to space constraints, we provide a brief summary in Table II
",Measuring Severity of Individual Software Vulnerabilities ,MANUAL,,https://www.first.org/cvss/
M060,Vulnerability Metrics,Software Vulnerabilities ,Measuring Severity of a Collection of Vulnerabilities ,"Many real-world attacks are carried out in multiple steps and exploit multiple vulnerabilities. As a result, there have been efforts to analyze the consequences of multiple vulnerabilities, including attack graphs [Phillips and Swiler 1998; Sheyner et al. 2002; Ritchey and Ammann 2000; Jha et al. 2002; Ammann et al. Albanese et al. 2012; Homer et al. 2013; Cheng et al. 2014], Bayesian networks [Liu and Man 2005; Frigault and Wang 2008; Frigault et al. 2008], attachment trees [Schneier 2000], and privilege trees [Dacier et al. 1996; Ortalo et al. 1999]. Look at two types of metrics that measure the severity of a set of vulnerabilities specifically in attack graphs: deterministic and probabilistic
",Deterministic Severity Metrics ,theoretical,,https://www.researchgate.net/publication/321087027_A_Suite_of_Metrics_for_Network_Attack_Graph_Analytics
M061,Vulnerability Metrics,Software Vulnerabilities ,Measuring Severity of a Collection of Vulnerabilities ,"Many real-world attacks are carried out in multiple steps and exploit multiple vulnerabilities. As a result, there have been efforts to analyze the consequences of multiple vulnerabilities, including attack graphs [Phillips and Swiler 1998; Sheyner et al. 2002; Ritchey and Ammann 2000; Jha et al. 2002; Ammann et al. Albanese et al. 2012; Homer et al. 2013; Cheng et al. 2014], Bayesian networks [Liu and Man 2005; Frigault and Wang 2008; Frigault et al. 2008], attachment trees [Schneier 2000], and privilege trees [Dacier et al. 1996; Ortalo et al. 1999]. Look at two types of metrics that measure the severity of a set of vulnerabilities specifically in attack graphs: deterministic and probabilistic
",Effort metrics ,theoretical,,
M062,Vulnerability Metrics,Software Vulnerabilities ,Measuring Severity of a Collection of Vulnerabilities ,"Many real-world attacks are carried out in multiple steps and exploit multiple vulnerabilities. As a result, there have been efforts to analyze the consequences of multiple vulnerabilities, including attack graphs [Phillips and Swiler 1998; Sheyner et al. 2002; Ritchey and Ammann 2000; Jha et al. 2002; Ammann et al. Albanese et al. 2012; Homer et al. 2013; Cheng et al. 2014], Bayesian networks [Liu and Man 2005; Frigault and Wang 2008; Frigault et al. 2008], attachment trees [Schneier 2000], and privilege trees [Dacier et al. 1996; Ortalo et al. 1999]. Look at two types of metrics that measure the severity of a set of vulnerabilities specifically in attack graphs: deterministic and probabilistic
",Probabilistic Severity Metrics ,theoretical,,
